dir	additions	deletions	changes
test/fixedbugs/issue40252.dir	90	0	90
src/crypto/dsa	81	9	90
src/crypto/internal/boring/sig	92	0	92
src/internal/x/crypto/cryptobyte/asn1	46	46	92
src/cmd/go/internal/modconv/testdata	93	0	93
src/cmd/buildid	20	73	93
test/fixedbugs/bug507.dir	93	0	93
src/cmd/vendor/github.com/google/pprof/internal/graph/testdata	0	94	94
src/cmd/vendor/golang.org/x/tools/go/ast/inspector	75	20	95
src/vendor/golang.org/x/crypto/hkdf	94	1	95
src/cmd/oldlink/internal/ld/testdata/issue26237/main	48	48	96
src/builtin	67	29	96
src/cmd/objdump/testdata/testfilenum	96	0	96
src/cmd/oldlink/internal/ld/testdata/issue26237/b.dir	48	48	96
src/go/types/testdata/issue25008	17	80	97
src/go/types/testdata/check/issue25008	74	23	97
src/cmd/link/internal/ld/testdata/issue39256	98	0	98
test/typeparam/issue49893.dir	94	4	98
src/internal/testlog	99	0	99
src/cmd/link/testdata/testHashedSyms	99	0	99
misc/cgo/testshared/testdata/exe	51	49	100
test/typeparam/issue50481c.dir	98	2	100
src/cmd/link/testdata/testIndexMismatch	100	0	100
test/typeparam/issue50121.dir	94	6	100
test/typeparam/mdempsky/1.dir	73	27	100
test/fixedbugs/issue47131.dir	100	0	100
src/internal/goversion	62	39	101
src/cmd/compile/internal/types2/testdata/importdecl1	100	1	101
test/fixedbugs/issue37513.dir	102	0	102
test/typeparam/mdempsky/7.dir	98	4	102
src/internal/lazyregexp	94	9	103
test/fixedbugs/issue48088.dir	101	2	103
test/fixedbugs/issue35739.dir	104	0	104
